"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-02-03 00:58:44.763478","10.8.0.1","or-in-f113.1e100.net","TCP","74","39492  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1531329383 TSecr=0 WS=1024"
"2","2022-02-03 00:58:44.774340","or-in-f113.1e100.net","10.8.0.1","TCP","54","443  >  39492 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"3","2022-02-03 00:58:44.774374","10.8.0.1","or-in-f113.1e100.net","TCP","54","39492  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"4","2022-02-03 00:58:44.775194","10.8.0.1","or-in-f113.1e100.net","TCP","590","39492  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"5","2022-02-03 00:58:44.775266","or-in-f113.1e100.net","10.8.0.1","TCP","54","443  >  39492 [ACK] Seq=1 Ack=537 Win=65535 Len=0"
"6","2022-02-03 00:58:44.775276","10.8.0.1","or-in-f113.1e100.net","TLSv1.3","60","Client Hello"
"7","2022-02-03 00:58:44.775291","or-in-f113.1e100.net","10.8.0.1","TCP","54","443  >  39492 [ACK] Seq=1 Ack=543 Win=65535 Len=0"
"8","2022-02-03 00:58:44.995762","10.8.0.1","ng-in-f94.1e100.net","TCP","74","48016  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2616166663 TSecr=0 WS=1024"
"9","2022-02-03 00:58:44.998411","ng-in-f94.1e100.net","10.8.0.1","TCP","54","443  >  48016 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"10","2022-02-03 00:58:44.998444","10.8.0.1","ng-in-f94.1e100.net","TCP","54","48016  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"11","2022-02-03 00:58:45.001066","10.8.0.1","ng-in-f94.1e100.net","TLSv1.3","571","Client Hello"
"12","2022-02-03 00:58:45.001170","ng-in-f94.1e100.net","10.8.0.1","TCP","54","443  >  48016 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"13","2022-02-03 00:58:45.194864","ng-in-f94.1e100.net","10.8.0.1","TLSv1.3","2850","Server Hello, Change Cipher Spec"
"14","2022-02-03 00:58:45.246104","10.8.0.1","ng-in-f94.1e100.net","TCP","54","48016  >  443 [ACK] Seq=518 Ack=2797 Win=65535 Len=0"
"15","2022-02-03 00:58:45.246330","ng-in-f94.1e100.net","10.8.0.1","TCP","1432","443  >  48016 [PSH, ACK] Seq=2797 Ack=518 Win=65535 Len=1378 [TCP segment of a reassembled PDU]"
"16","2022-02-03 00:58:45.296600","10.8.0.1","ng-in-f94.1e100.net","TCP","54","48016  >  443 [ACK] Seq=518 Ack=4175 Win=65535 Len=0"
"17","2022-02-03 00:58:45.296910","ng-in-f94.1e100.net","10.8.0.1","TLSv1.3","226","Application Data"
"18","2022-02-03 00:58:45.348552","10.8.0.1","ng-in-f94.1e100.net","TCP","54","48016  >  443 [ACK] Seq=518 Ack=4347 Win=65535 Len=0"
"19","2022-02-03 00:58:45.348647","10.8.0.1","ng-in-f94.1e100.net","TLSv1.3","118","Change Cipher Spec, Application Data"
