"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","N/A","N/A","N/A","42","Raw packet data"
"2","0.000397","N/A","N/A","N/A","42","Raw packet data"
"3","0.001023","N/A","N/A","N/A","42","Raw packet data"
"4","0.001649","N/A","N/A","N/A","42","Raw packet data"
"5","0.002302","N/A","N/A","N/A","42","Raw packet data"
"6","0.002888","N/A","N/A","N/A","42","Raw packet data"
"7","0.003248","N/A","N/A","N/A","42","Raw packet data"
"8","0.003935","N/A","N/A","N/A","42","Raw packet data"
"9","0.004523","N/A","N/A","N/A","42","Raw packet data"
"10","0.005357","N/A","N/A","N/A","42","Raw packet data"
"11","0.005848","N/A","N/A","N/A","42","Raw packet data"
"12","0.006448","N/A","N/A","N/A","42","Raw packet data"
"13","0.006987","N/A","N/A","N/A","42","Raw packet data"
"14","0.007493","N/A","N/A","N/A","42","Raw packet data"
"15","0.008083","N/A","N/A","N/A","42","Raw packet data"
"16","0.008689","N/A","N/A","N/A","42","Raw packet data"
"17","0.009420","N/A","N/A","N/A","42","Raw packet data"
"18","0.010490","N/A","N/A","N/A","42","Raw packet data"
"19","0.012108","N/A","N/A","N/A","42","Raw packet data"
"20","0.012647","N/A","N/A","N/A","42","Raw packet data"
"21","0.013217","N/A","N/A","N/A","42","Raw packet data"
"22","0.013915","N/A","N/A","N/A","42","Raw packet data"
"23","0.015437","N/A","N/A","N/A","42","Raw packet data"
"24","0.015999","N/A","N/A","N/A","42","Raw packet data"
"25","0.016641","N/A","N/A","N/A","46","Raw packet data"
"26","1.019265","N/A","N/A","N/A","42","Raw packet data"
"27","1.019555","N/A","N/A","N/A","42","Raw packet data"
"28","1.020574","N/A","N/A","N/A","42","Raw packet data"
"29","1.021029","N/A","N/A","N/A","42","Raw packet data"
"30","1.021518","N/A","N/A","N/A","42","Raw packet data"
"31","1.022164","N/A","N/A","N/A","42","Raw packet data"
"32","1.022966","N/A","N/A","N/A","42","Raw packet data"
"33","1.023507","N/A","N/A","N/A","42","Raw packet data"
"34","1.023997","N/A","N/A","N/A","42","Raw packet data"
"35","1.024558","N/A","N/A","N/A","42","Raw packet data"
"36","1.025084","N/A","N/A","N/A","42","Raw packet data"
"37","1.025906","N/A","N/A","N/A","42","Raw packet data"
"38","1.026329","N/A","N/A","N/A","42","Raw packet data"
"39","1.026854","N/A","N/A","N/A","42","Raw packet data"
"40","1.027477","N/A","N/A","N/A","42","Raw packet data"
"41","1.028129","N/A","N/A","N/A","42","Raw packet data"
"42","1.028572","N/A","N/A","N/A","42","Raw packet data"
"43","1.029169","N/A","N/A","N/A","42","Raw packet data"
"44","1.029647","N/A","N/A","N/A","42","Raw packet data"
"45","1.030135","N/A","N/A","N/A","42","Raw packet data"
"46","1.030703","N/A","N/A","N/A","42","Raw packet data"
"47","1.032984","N/A","N/A","N/A","42","Raw packet data"
"48","1.033463","N/A","N/A","N/A","42","Raw packet data"
"49","2.035668","N/A","N/A","N/A","42","Raw packet data"
"50","2.036161","N/A","N/A","N/A","42","Raw packet data"
"51","2.036730","N/A","N/A","N/A","42","Raw packet data"
"52","2.037430","N/A","N/A","N/A","42","Raw packet data"
"53","2.038336","N/A","N/A","N/A","42","Raw packet data"
"54","2.038975","N/A","N/A","N/A","42","Raw packet data"
"55","2.039469","N/A","N/A","N/A","42","Raw packet data"
"56","2.040080","N/A","N/A","N/A","42","Raw packet data"
"57","2.040717","N/A","N/A","N/A","42","Raw packet data"
"58","2.042195","N/A","N/A","N/A","42","Raw packet data"
"59","2.043643","N/A","N/A","N/A","42","Raw packet data"
"60","2.044109","N/A","N/A","N/A","42","Raw packet data"
"61","2.044573","N/A","N/A","N/A","42","Raw packet data"
"62","2.045134","N/A","N/A","N/A","42","Raw packet data"
"63","2.045602","N/A","N/A","N/A","42","Raw packet data"
"64","2.046302","N/A","N/A","N/A","42","Raw packet data"
"65","2.047014","N/A","N/A","N/A","42","Raw packet data"
"66","2.047355","N/A","N/A","N/A","42","Raw packet data"
"67","2.047963","N/A","N/A","N/A","42","Raw packet data"
"68","2.048632","N/A","N/A","N/A","42","Raw packet data"
"69","2.049221","N/A","N/A","N/A","42","Raw packet data"
"70","2.049786","N/A","N/A","N/A","42","Raw packet data"
"71","2.050421","N/A","N/A","N/A","42","Raw packet data"
"72","2.050854","N/A","N/A","N/A","42","Raw packet data"
"73","2.052139","N/A","N/A","N/A","42","Raw packet data"
"74","2.052822","N/A","N/A","N/A","42","Raw packet data"
"75","2.053336","N/A","N/A","N/A","42","Raw packet data"
"76","2.053962","N/A","N/A","N/A","42","Raw packet data"
"77","3.056724","N/A","N/A","N/A","42","Raw packet data"
"78","3.056868","N/A","N/A","N/A","42","Raw packet data"
"79","3.057373","N/A","N/A","N/A","42","Raw packet data"
"80","3.057861","N/A","N/A","N/A","42","Raw packet data"
"81","3.058845","N/A","N/A","N/A","42","Raw packet data"
"82","3.059386","N/A","N/A","N/A","42","Raw packet data"
"83","3.059784","N/A","N/A","N/A","42","Raw packet data"
"84","3.061018","N/A","N/A","N/A","42","Raw packet data"
"85","3.061419","N/A","N/A","N/A","42","Raw packet data"
"86","3.062069","N/A","N/A","N/A","42","Raw packet data"
"87","3.062443","N/A","N/A","N/A","42","Raw packet data"
"88","3.063032","N/A","N/A","N/A","42","Raw packet data"
"89","3.063517","N/A","N/A","N/A","42","Raw packet data"
"90","3.064017","N/A","N/A","N/A","42","Raw packet data"
"91","3.064488","N/A","N/A","N/A","42","Raw packet data"
"92","3.065035","N/A","N/A","N/A","42","Raw packet data"
"93","3.065532","N/A","N/A","N/A","42","Raw packet data"
"94","3.066126","N/A","N/A","N/A","42","Raw packet data"
"95","3.068195","N/A","N/A","N/A","42","Raw packet data"
