"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","N/A","N/A","N/A","42","Raw packet data"
"2","0.001404","N/A","N/A","N/A","42","Raw packet data"
"3","0.002649","N/A","N/A","N/A","42","Raw packet data"
"4","0.003014","N/A","N/A","N/A","42","Raw packet data"
"5","0.003522","N/A","N/A","N/A","42","Raw packet data"
"6","0.004143","N/A","N/A","N/A","42","Raw packet data"
"7","0.004682","N/A","N/A","N/A","42","Raw packet data"
"8","0.005239","N/A","N/A","N/A","42","Raw packet data"
"9","0.005850","N/A","N/A","N/A","42","Raw packet data"
"10","0.006293","N/A","N/A","N/A","42","Raw packet data"
"11","0.006869","N/A","N/A","N/A","42","Raw packet data"
"12","0.007304","N/A","N/A","N/A","42","Raw packet data"
"13","0.008658","N/A","N/A","N/A","42","Raw packet data"
"14","0.009288","N/A","N/A","N/A","42","Raw packet data"
"15","1.012316","N/A","N/A","N/A","42","Raw packet data"
"16","1.013908","N/A","N/A","N/A","42","Raw packet data"
"17","1.015367","N/A","N/A","N/A","42","Raw packet data"
"18","1.015570","N/A","N/A","N/A","42","Raw packet data"
"19","1.016316","N/A","N/A","N/A","42","Raw packet data"
"20","1.016530","N/A","N/A","N/A","42","Raw packet data"
"21","1.017405","N/A","N/A","N/A","42","Raw packet data"
"22","1.018284","N/A","N/A","N/A","42","Raw packet data"
"23","1.018598","N/A","N/A","N/A","42","Raw packet data"
"24","1.018844","N/A","N/A","N/A","42","Raw packet data"
"25","1.019540","N/A","N/A","N/A","42","Raw packet data"
"26","1.019957","N/A","N/A","N/A","42","Raw packet data"
"27","1.020740","N/A","N/A","N/A","42","Raw packet data"
"28","2.024059","N/A","N/A","N/A","42","Raw packet data"
"29","2.024638","N/A","N/A","N/A","42","Raw packet data"
"30","2.026139","N/A","N/A","N/A","42","Raw packet data"
"31","2.026816","N/A","N/A","N/A","42","Raw packet data"
"32","2.027429","N/A","N/A","N/A","42","Raw packet data"
"33","2.028129","N/A","N/A","N/A","42","Raw packet data"
"34","2.028556","N/A","N/A","N/A","42","Raw packet data"
"35","2.029175","N/A","N/A","N/A","42","Raw packet data"
"36","2.029806","N/A","N/A","N/A","42","Raw packet data"
"37","2.030433","N/A","N/A","N/A","42","Raw packet data"
"38","2.030865","N/A","N/A","N/A","42","Raw packet data"
"39","2.031730","N/A","N/A","N/A","42","Raw packet data"
"40","3.034809","N/A","N/A","N/A","42","Raw packet data"
"41","3.035474","N/A","N/A","N/A","42","Raw packet data"
"42","3.036983","N/A","N/A","N/A","42","Raw packet data"
"43","3.037562","10.133.147.141","a104-80-92-214.deploy.static.akamaitechnologies.com","TCP","40","49660  >  https(443) [FIN, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"44","3.038126","a104-80-92-214.deploy.static.akamaitechnologies.com","10.133.147.141","TLSv1.2","71","Encrypted Alert"
"45","3.038605","a104-80-92-214.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","46","https(443)  >  49660 [FIN, ACK] Seq=32 Ack=2 Win=501 Len=0"
"46","3.039306","10.133.147.141","a104-80-92-214.deploy.static.akamaitechnologies.com","TCP","40","49660  >  https(443) [RST] Seq=2 Win=0 Len=0"
"47","3.039787","10.133.147.141","a104-80-92-214.deploy.static.akamaitechnologies.com","TCP","40","49660  >  https(443) [RST] Seq=2 Win=0 Len=0"
"48","3.040532","N/A","N/A","N/A","42","Raw packet data"
"49","3.041357","N/A","N/A","N/A","42","Raw packet data"
"50","3.042657","N/A","N/A","N/A","42","Raw packet data"
"51","3.043331","N/A","N/A","N/A","42","Raw packet data"
"52","3.043914","N/A","N/A","N/A","42","Raw packet data"
"53","3.044521","N/A","N/A","N/A","42","Raw packet data"
"54","3.045420","N/A","N/A","N/A","42","Raw packet data"
"55","3.045933","N/A","N/A","N/A","42","Raw packet data"
"56","3.046674","N/A","N/A","N/A","42","Raw packet data"
"57","3.048252","N/A","N/A","N/A","42","Raw packet data"
"58","3.049147","N/A","N/A","N/A","42","Raw packet data"
"59","3.053287","N/A","N/A","N/A","42","Raw packet data"
"60","3.054910","N/A","N/A","N/A","42","Raw packet data"
"61","3.055902","N/A","N/A","N/A","42","Raw packet data"
"62","3.056926","N/A","N/A","N/A","42","Raw packet data"
"63","3.057950","N/A","N/A","N/A","42","Raw packet data"
"64","3.058711","N/A","N/A","N/A","42","Raw packet data"
"65","3.060073","N/A","N/A","N/A","42","Raw packet data"
"66","3.060527","N/A","N/A","N/A","42","Raw packet data"
"67","4.064193","N/A","N/A","N/A","42","Raw packet data"
"68","4.065432","N/A","N/A","N/A","42","Raw packet data"
"69","4.066553","N/A","N/A","N/A","42","Raw packet data"
"70","4.066919","N/A","N/A","N/A","42","Raw packet data"
"71","4.067480","N/A","N/A","N/A","42","Raw packet data"
"72","4.068543","N/A","N/A","N/A","42","Raw packet data"
"73","4.069252","N/A","N/A","N/A","42","Raw packet data"
"74","4.069982","N/A","N/A","N/A","42","Raw packet data"
"75","4.070697","N/A","N/A","N/A","42","Raw packet data"
"76","4.071262","N/A","N/A","N/A","42","Raw packet data"
"77","4.071833","N/A","N/A","N/A","42","Raw packet data"
"78","4.072339","N/A","N/A","N/A","42","Raw packet data"
"79","4.072909","N/A","N/A","N/A","42","Raw packet data"
"80","4.073614","N/A","N/A","N/A","42","Raw packet data"
"81","4.074203","N/A","N/A","N/A","42","Raw packet data"
"82","4.074810","N/A","N/A","N/A","42","Raw packet data"
"83","4.075405","N/A","N/A","N/A","42","Raw packet data"
"84","4.075944","N/A","N/A","N/A","42","Raw packet data"
"85","4.076558","N/A","N/A","N/A","42","Raw packet data"
"86","4.077176","N/A","N/A","N/A","42","Raw packet data"
"87","4.077763","N/A","N/A","N/A","42","Raw packet data"
"88","4.080102","N/A","N/A","N/A","42","Raw packet data"
"89","4.080611","N/A","N/A","N/A","42","Raw packet data"
"90","4.081252","N/A","N/A","N/A","42","Raw packet data"
"91","4.081815","N/A","N/A","N/A","42","Raw packet data"
"92","4.082397","N/A","N/A","N/A","42","Raw packet data"
"93","4.083208","N/A","N/A","N/A","42","Raw packet data"
"94","4.084236","N/A","N/A","N/A","42","Raw packet data"
"95","4.084881","N/A","N/A","N/A","42","Raw packet data"
"96","4.085436","N/A","N/A","N/A","42","Raw packet data"
"97","5.089094","N/A","N/A","N/A","42","Raw packet data"
"98","5.089651","N/A","N/A","N/A","42","Raw packet data"
"99","5.090867","N/A","N/A","N/A","42","Raw packet data"
"100","5.091336","N/A","N/A","N/A","42","Raw packet data"
"101","5.093322","N/A","N/A","N/A","42","Raw packet data"
"102","5.094741","N/A","N/A","N/A","42","Raw packet data"
"103","5.096582","N/A","N/A","N/A","42","Raw packet data"
"104","5.099265","N/A","N/A","N/A","42","Raw packet data"
"105","5.101014","N/A","N/A","N/A","42","Raw packet data"
"106","5.102931","N/A","N/A","N/A","42","Raw packet data"
"107","5.104856","N/A","N/A","N/A","42","Raw packet data"
"108","5.105661","N/A","N/A","N/A","42","Raw packet data"
"109","5.106291","N/A","N/A","N/A","42","Raw packet data"
"110","5.106830","N/A","N/A","N/A","42","Raw packet data"
"111","5.107419","N/A","N/A","N/A","42","Raw packet data"
"112","5.108085","N/A","N/A","N/A","42","Raw packet data"
"113","5.108681","N/A","N/A","N/A","42","Raw packet data"
"114","5.109232","N/A","N/A","N/A","42","Raw packet data"
"115","5.111030","N/A","N/A","N/A","42","Raw packet data"
"116","5.111761","N/A","N/A","N/A","42","Raw packet data"
"117","5.112439","N/A","N/A","N/A","42","Raw packet data"
"118","5.113032","N/A","N/A","N/A","42","Raw packet data"
"119","5.113941","N/A","N/A","N/A","42","Raw packet data"
"120","5.114510","N/A","N/A","N/A","42","Raw packet data"
"121","5.115087","N/A","N/A","N/A","42","Raw packet data"
"122","5.115657","N/A","N/A","N/A","42","Raw packet data"
"123","5.116328","N/A","N/A","N/A","42","Raw packet data"
"124","5.118113","N/A","N/A","N/A","42","Raw packet data"
"125","5.118739","N/A","N/A","N/A","42","Raw packet data"
"126","5.119366","N/A","N/A","N/A","42","Raw packet data"
"127","5.119899","N/A","N/A","N/A","42","Raw packet data"
"128","5.120513","N/A","N/A","N/A","42","Raw packet data"
