"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.133.147.141","ocsp-a.g.aaplimg.com","TCP","40","49264  >  https(443) [FIN, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"2","0.000508","ocsp-a.g.aaplimg.com","10.133.147.141","TCP","46","https(443)  >  49264 [FIN, ACK] Seq=1 Ack=2 Win=251 Len=0"
"3","0.001189","10.133.147.141","ocsp-a.g.aaplimg.com","TCP","40","49264  >  https(443) [ACK] Seq=2 Ack=2 Win=16384 Len=0"
"4","0.001609","N/A","N/A","N/A","42","Raw packet data"
"5","0.004486","N/A","N/A","N/A","42","Raw packet data"
"6","0.004537","N/A","N/A","N/A","42","Raw packet data"
"7","0.006244","N/A","N/A","N/A","42","Raw packet data"
"8","0.006954","N/A","N/A","N/A","42","Raw packet data"
"9","0.007555","N/A","N/A","N/A","42","Raw packet data"
"10","0.008170","N/A","N/A","N/A","42","Raw packet data"
"11","0.008916","N/A","N/A","N/A","42","Raw packet data"
"12","0.011708","N/A","N/A","N/A","42","Raw packet data"
"13","0.012682","N/A","N/A","N/A","42","Raw packet data"
"14","0.013162","10.133.147.141","e1329.g.akamaiedge.net","HTTP","368","GET /assets/com_apple_MobileAsset_DictionaryServices_dictionary2/com_apple_MobileAsset_DictionaryServices_dictionary2.xml HTTP/1.1 "
"15","0.013928","e1329.g.akamaiedge.net","10.133.147.141","TCP","46","http(80)  >  49268 [ACK] Seq=1 Ack=329 Win=501 Len=0"
"16","0.014810","e1329.g.akamaiedge.net","10.133.147.141","HTTP","318","HTTP/1.1 304 Not Modified "
"17","0.016008","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49268  >  http(80) [ACK] Seq=329 Ack=279 Win=16366 Len=0"
"18","0.016605","N/A","N/A","N/A","42","Raw packet data"
"19","0.018125","10.133.147.141","146.57.254.139","TCP","40","49227  >  https(443) [FIN, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"20","0.018711","146.57.254.139","10.133.147.141","TLSv1.2","71","Encrypted Alert"
"21","0.019173","146.57.254.139","10.133.147.141","TCP","46","https(443)  >  49227 [FIN, ACK] Seq=32 Ack=2 Win=269 Len=0"
"22","0.019641","10.133.147.141","146.57.254.139","TCP","40","49227  >  https(443) [RST] Seq=2 Win=0 Len=0"
"23","0.020152","10.133.147.141","146.57.254.139","TCP","40","49227  >  https(443) [RST] Seq=2 Win=0 Len=0"
"24","0.020610","N/A","N/A","N/A","42","Raw packet data"
"25","0.021154","N/A","N/A","N/A","42","Raw packet data"
"26","0.021943","N/A","N/A","N/A","42","Raw packet data"
"27","0.023614","N/A","N/A","N/A","42","Raw packet data"
"28","0.024106","N/A","N/A","N/A","42","Raw packet data"
"29","0.024919","N/A","N/A","N/A","42","Raw packet data"
"30","0.025788","N/A","N/A","N/A","42","Raw packet data"
"31","0.026663","N/A","N/A","N/A","42","Raw packet data"
"32","0.029057","N/A","N/A","N/A","42","Raw packet data"
"33","0.029926","N/A","N/A","N/A","42","Raw packet data"
"34","0.030658","N/A","N/A","N/A","42","Raw packet data"
"35","0.031485","N/A","N/A","N/A","42","Raw packet data"
"36","0.032284","N/A","N/A","N/A","42","Raw packet data"
"37","1.035551","N/A","N/A","N/A","42","Raw packet data"
"38","1.036067","N/A","N/A","N/A","42","Raw packet data"
"39","1.036922","N/A","N/A","N/A","42","Raw packet data"
"40","1.037738","N/A","N/A","N/A","42","Raw packet data"
"41","1.038413","N/A","N/A","N/A","42","Raw packet data"
"42","1.038938","N/A","N/A","N/A","42","Raw packet data"
"43","1.039436","N/A","N/A","N/A","42","Raw packet data"
"44","1.044390","N/A","N/A","N/A","42","Raw packet data"
"45","1.045429","N/A","N/A","N/A","42","Raw packet data"
"46","1.046094","N/A","N/A","N/A","42","Raw packet data"
"47","1.046723","10.133.147.141","e1329.g.akamaiedge.net","TCP","64","49269  >  http(80) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=155123545 TSecr=0 SACK_PERM=1"
"48","1.047464","e1329.g.akamaiedge.net","10.133.147.141","TCP","52","http(80)  >  49269 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1386 SACK_PERM=1 WS=128"
"49","1.047974","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"50","1.048403","10.133.147.141","e1329.g.akamaiedge.net","TCP","64","49270  >  http(80) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=155123550 TSecr=0 SACK_PERM=1"
"51","1.048796","e1329.g.akamaiedge.net","10.133.147.141","TCP","52","http(80)  >  49270 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1386 SACK_PERM=1 WS=128"
"52","1.049384","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49270  >  http(80) [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"53","1.049866","N/A","N/A","N/A","42","Raw packet data"
"54","1.050553","N/A","N/A","N/A","42","Raw packet data"
"55","1.051280","N/A","N/A","N/A","42","Raw packet data"
"56","1.051744","N/A","N/A","N/A","42","Raw packet data"
"57","1.052284","10.133.147.141","e1329.g.akamaiedge.net","HTTP","362","GET /assets/com_apple_MobileAsset_VoiceServicesVocalizerVoice/com_apple_MobileAsset_VoiceServicesVocalizerVoice.xml HTTP/1.1 "
"58","1.057179","10.133.147.141","e1329.g.akamaiedge.net","HTTP","336","GET /assets/com_apple_MobileAsset_LinguisticData/com_apple_MobileAsset_LinguisticData.xml HTTP/1.1 "
"59","1.057786","N/A","N/A","N/A","42","Raw packet data"
"60","1.058656","e1329.g.akamaiedge.net","10.133.147.141","TCP","46","http(80)  >  49268 [ACK] Seq=279 Ack=651 Win=501 Len=0"
"61","1.059126","e1329.g.akamaiedge.net","10.133.147.141","HTTP","319","HTTP/1.1 304 Not Modified "
"62","1.059537","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49268  >  http(80) [ACK] Seq=651 Ack=558 Win=16366 Len=0"
"63","1.060258","e1329.g.akamaiedge.net","10.133.147.141","TCP","46","http(80)  >  49269 [ACK] Seq=1 Ack=297 Win=64128 Len=0"
"64","1.060764","N/A","N/A","N/A","42","Raw packet data"
"65","1.064593","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=1 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"66","1.065129","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=1387 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"67","1.065731","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=2773 Win=259360 Len=0"
"68","1.066179","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=2773 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"69","1.066820","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=4159 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"70","1.067279","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=5545 Win=256592 Len=0"
"71","1.067710","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=5545 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"72","1.068317","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=6931 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"73","1.072824","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=8317 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"74","1.073371","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=8317 Win=253824 Len=0"
"75","1.073997","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=9703 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"76","1.074660","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=11089 Win=251056 Len=0"
"77","1.075556","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=11089 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"78","1.076328","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=12475 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"79","1.076859","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=13861 Win=248272 Len=0"
"80","1.079431","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=13861 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"81","1.080010","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=15247 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"82","1.080648","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=16633 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"83","1.081276","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=18019 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"84","1.081868","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=16633 Win=245504 Len=0"
"85","1.082324","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=19405 Win=242736 Len=0"
"86","1.082743","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=19405 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"87","1.087228","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=20791 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"88","1.087666","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=22177 Win=239968 Len=0"
"89","1.088311","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=22177 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"90","1.088961","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=23563 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"91","1.089421","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=24949 Win=237184 Len=0"
"92","1.089909","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","[TCP Window Update] 49269  >  http(80) [ACK] Seq=297 Ack=24949 Win=262144 Len=0"
"93","1.090634","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=24949 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"94","1.095038","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=26335 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"95","1.095671","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=27721 Win=259360 Len=0"
"96","1.096249","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","[TCP Window Update] 49269  >  http(80) [ACK] Seq=297 Ack=27721 Win=262144 Len=0"
"97","1.096732","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=27721 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"98","1.097232","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=29107 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"99","1.097755","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=30493 Win=259360 Len=0"
"100","1.098389","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","[TCP Window Update] 49269  >  http(80) [ACK] Seq=297 Ack=30493 Win=262144 Len=0"
"101","1.098995","N/A","N/A","N/A","42","Raw packet data"
"102","1.103633","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=30493 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"103","1.104322","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=31879 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"104","1.104776","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=33265 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"105","1.105401","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=33265 Win=259360 Len=0"
"106","1.106333","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=34651 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"107","1.106928","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=36037 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"108","1.107621","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [PSH, ACK] Seq=37423 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
"109","1.109896","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=36037 Win=256592 Len=0"
"110","1.110533","10.133.147.141","e1329.g.akamaiedge.net","TCP","40","49269  >  http(80) [ACK] Seq=297 Ack=38809 Win=253824 Len=0"
"111","1.111088","e1329.g.akamaiedge.net","10.133.147.141","TCP","1426","http(80)  >  49269 [ACK] Seq=38809 Ack=297 Win=64128 Len=1386 [TCP segment of a reassembled PDU]"
