"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=1 Ack=1 Win=251 Len=1386"
"2","0.000644","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=1387 Ack=1 Win=251 Len=1386"
"3","0.001702","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=2773 Win=8923 Len=0"
"4","0.003182","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=2773 Ack=1 Win=251 Len=1386"
"5","0.004172","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=4159 Ack=1 Win=251 Len=1386"
"6","0.007635","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=5545 Win=8750 Len=0"
"7","0.007652","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=5545 Ack=1 Win=251 Len=1386"
"8","0.009881","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=6931 Ack=1 Win=251 Len=1386"
"9","0.010846","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=8317 Win=8577 Len=0"
"10","0.011927","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=8317 Ack=1 Win=251 Len=1386"
"11","0.012802","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=9703 Ack=1 Win=251 Len=1386"
"12","0.015078","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=11089 Win=8403 Len=0"
"13","0.016610","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=11089 Ack=1 Win=251 Len=1386"
"14","0.017279","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=12475 Ack=1 Win=251 Len=1386"
"15","0.018093","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=13861 Ack=1 Win=251 Len=1386"
"16","0.018966","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=13861 Win=8230 Len=0"
"17","0.020840","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=15247 Ack=1 Win=251 Len=1386"
"18","0.021451","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=16633 Ack=1 Win=251 Len=1386"
"19","0.022408","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=16633 Win=8057 Len=0"
"20","0.023864","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=18019 Ack=1 Win=251 Len=1386"
"21","0.025733","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=19405 Ack=1 Win=251 Len=1386"
"22","0.027984","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=20791 Ack=1 Win=251 Len=1386"
"23","0.029204","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=19405 Win=7884 Len=0"
"24","0.030151","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=22177 Win=7710 Len=0"
"25","0.031094","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=22177 Ack=1 Win=251 Len=1386"
"26","0.033135","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=23563 Ack=1 Win=251 Len=1386"
"27","0.033861","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=24949 Win=7537 Len=0"
"28","0.035573","N/A","N/A","N/A","42","Raw packet data"
"29","0.036221","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=24949 Ack=1 Win=251 Len=1386"
"30","0.037600","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=26335 Ack=1 Win=251 Len=1386"
"31","0.038503","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=27721 Ack=1 Win=251 Len=1386"
"32","0.039315","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=27721 Win=7364 Len=0"
"33","0.040934","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=29107 Ack=1 Win=251 Len=1386"
"34","0.042199","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=30493 Ack=1 Win=251 Len=1386"
"35","0.042884","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=30493 Win=7191 Len=0"
"36","0.044090","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=31879 Ack=1 Win=251 Len=1386"
"37","0.044741","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=33265 Ack=1 Win=251 Len=1386"
"38","0.045710","10.133.147.141","usmes2-vip-bx-001.aaplimg.com","TCP","40","49961  >  http(80) [ACK] Seq=1 Ack=33265 Win=7017 Len=0"
"39","0.046856","usmes2-vip-bx-001.aaplimg.com","10.133.147.141","TCP","1426","http(80)  >  49961 [ACK] Seq=34651 Ack=1 Win=251 Len=1386"
