"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","N/A","N/A","N/A","42","Raw packet data"
"2","0.000799","N/A","N/A","N/A","42","Raw packet data"
"3","0.001898","N/A","N/A","N/A","42","Raw packet data"
"4","0.002469","N/A","N/A","N/A","42","Raw packet data"
"5","0.003210","N/A","N/A","N/A","42","Raw packet data"
"6","0.003798","N/A","N/A","N/A","42","Raw packet data"
"7","0.004691","N/A","N/A","N/A","42","Raw packet data"
"8","0.005287","N/A","N/A","N/A","42","Raw packet data"
"9","0.005715","N/A","N/A","N/A","42","Raw packet data"
"10","0.006346","N/A","N/A","N/A","42","Raw packet data"
"11","0.006592","N/A","N/A","N/A","42","Raw packet data"
"12","0.007517","N/A","N/A","N/A","42","Raw packet data"
"13","0.008555","N/A","N/A","N/A","42","Raw packet data"
"14","0.008960","N/A","N/A","N/A","42","Raw packet data"
"15","0.009394","N/A","N/A","N/A","42","Raw packet data"
"16","0.010078","N/A","N/A","N/A","42","Raw packet data"
"17","0.010584","N/A","N/A","N/A","42","Raw packet data"
"18","0.011111","N/A","N/A","N/A","42","Raw packet data"
"19","0.011613","N/A","N/A","N/A","42","Raw packet data"
"20","0.012401","N/A","N/A","N/A","42","Raw packet data"
"21","1.015322","N/A","N/A","N/A","42","Raw packet data"
"22","1.016514","N/A","N/A","N/A","42","Raw packet data"
"23","1.017390","N/A","N/A","N/A","42","Raw packet data"
"24","1.018312","N/A","N/A","N/A","42","Raw packet data"
"25","1.018765","N/A","N/A","N/A","42","Raw packet data"
"26","1.019494","N/A","N/A","N/A","42","Raw packet data"
"27","1.020731","N/A","N/A","N/A","498","Raw packet data"
"28","1.021016","N/A","N/A","N/A","498","Raw packet data"
"29","1.021665","N/A","N/A","N/A","42","Raw packet data"
"30","1.022094","N/A","N/A","N/A","42","Raw packet data"
"31","1.022478","N/A","N/A","N/A","42","Raw packet data"
"32","1.022938","N/A","N/A","N/A","42","Raw packet data"
"33","1.024329","N/A","N/A","N/A","42","Raw packet data"
"34","1.025076","N/A","N/A","N/A","42","Raw packet data"
"35","1.025700","N/A","N/A","N/A","42","Raw packet data"
"36","1.026349","N/A","N/A","N/A","42","Raw packet data"
"37","1.026947","N/A","N/A","N/A","42","Raw packet data"
"38","1.027573","N/A","N/A","N/A","42","Raw packet data"
"39","1.028157","N/A","N/A","N/A","42","Raw packet data"
"40","1.028853","N/A","N/A","N/A","42","Raw packet data"
"41","1.029473","N/A","N/A","N/A","42","Raw packet data"
"42","1.031097","N/A","N/A","N/A","42","Raw packet data"
"43","1.031631","N/A","N/A","N/A","42","Raw packet data"
"44","1.032795","N/A","N/A","N/A","42","Raw packet data"
"45","1.033291","N/A","N/A","N/A","42","Raw packet data"
"46","2.036129","N/A","N/A","N/A","42","Raw packet data"
"47","2.037210","N/A","N/A","N/A","42","Raw packet data"
"48","2.037948","N/A","N/A","N/A","42","Raw packet data"
"49","2.038666","N/A","N/A","N/A","42","Raw packet data"
"50","2.039279","N/A","N/A","N/A","42","Raw packet data"
"51","2.040538","N/A","N/A","N/A","42","Raw packet data"
"52","2.041061","N/A","N/A","N/A","42","Raw packet data"
"53","2.043412","N/A","N/A","N/A","42","Raw packet data"
"54","2.044028","N/A","N/A","N/A","42","Raw packet data"
"55","2.044624","N/A","N/A","N/A","42","Raw packet data"
"56","2.045307","N/A","N/A","N/A","42","Raw packet data"
"57","2.046078","N/A","N/A","N/A","42","Raw packet data"
"58","2.046261","N/A","N/A","N/A","42","Raw packet data"
"59","2.046943","N/A","N/A","N/A","42","Raw packet data"
"60","2.052948","N/A","N/A","N/A","42","Raw packet data"
"61","2.053443","N/A","N/A","N/A","42","Raw packet data"
"62","2.053859","N/A","N/A","N/A","42","Raw packet data"
"63","2.054775","N/A","N/A","N/A","42","Raw packet data"
"64","2.055128","N/A","N/A","N/A","42","Raw packet data"
"65","2.055592","N/A","N/A","N/A","42","Raw packet data"
"66","3.058393","N/A","N/A","N/A","42","Raw packet data"
"67","3.059285","N/A","N/A","N/A","42","Raw packet data"
"68","3.060006","N/A","N/A","N/A","42","Raw packet data"
"69","3.061105","N/A","N/A","N/A","42","Raw packet data"
"70","3.062394","N/A","N/A","N/A","42","Raw packet data"
"71","3.063026","N/A","N/A","N/A","42","Raw packet data"
"72","3.063556","N/A","N/A","N/A","42","Raw packet data"
"73","3.064272","N/A","N/A","N/A","42","Raw packet data"
"74","3.064735","N/A","N/A","N/A","42","Raw packet data"
"75","3.065207","N/A","N/A","N/A","42","Raw packet data"
"76","3.065749","N/A","N/A","N/A","42","Raw packet data"
"77","3.066468","N/A","N/A","N/A","42","Raw packet data"
"78","3.066869","N/A","N/A","N/A","42","Raw packet data"
"79","3.067449","N/A","N/A","N/A","42","Raw packet data"
"80","3.067882","N/A","N/A","N/A","42","Raw packet data"
"81","3.068502","N/A","N/A","N/A","42","Raw packet data"
"82","3.069143","N/A","N/A","N/A","42","Raw packet data"
