"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TLSv1.2","115","Client Key Exchange"
"2","0.000149","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TLSv1.2","46","Change Cipher Spec"
"3","0.000593","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TLSv1.2","85","Encrypted Handshake Message"
"4","0.001085","10.133.147.141","a104-80-92-214.deploy.static.akamaitechnologies.com","TLSv1.2","269","Application Data"
"5","0.002067","N/A","N/A","N/A","42","Raw packet data"
"6","0.003727","N/A","N/A","N/A","42","Raw packet data"
"7","0.004833","N/A","N/A","N/A","42","Raw packet data"
"8","0.005753","N/A","N/A","N/A","42","Raw packet data"
"9","0.006742","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","46","https(443)  >  50511 [ACK] Seq=1 Ack=76 Win=501 Len=0"
"10","0.008214","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","46","https(443)  >  50511 [ACK] Seq=1 Ack=82 Win=501 Len=0"
"11","0.011084","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","46","https(443)  >  50511 [ACK] Seq=1 Ack=127 Win=501 Len=0"
"12","0.013566","a104-80-92-214.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","46","https(443)  >  50510 [ACK] Seq=1 Ack=230 Win=501 Len=0"
"13","0.014463","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TLSv1.2","91","Change Cipher Spec, Encrypted Handshake Message"
"14","0.015330","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TCP","40","50511  >  https(443) [ACK] Seq=127 Ack=52 Win=16380 Len=0"
"15","0.020510","a104-80-92-214.deploy.static.akamaitechnologies.com","10.133.147.141","TLSv1.2","195","Application Data"
"16","0.021351","10.133.147.141","a104-80-92-214.deploy.static.akamaitechnologies.com","TCP","40","50510  >  https(443) [ACK] Seq=230 Ack=156 Win=16374 Len=0"
"17","0.021993","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TLSv1.2","322","Application Data"
"18","0.022557","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","46","https(443)  >  50511 [ACK] Seq=52 Ack=409 Win=501 Len=0"
"19","0.023306","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","1426","https(443)  >  50511 [ACK] Seq=52 Ack=409 Win=501 Len=1386 [TCP segment of a reassembled PDU]"
"20","0.024619","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TLSv1.2","931","Application Data"
"21","0.025116","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TCP","40","50511  >  https(443) [ACK] Seq=409 Ack=2329 Win=16241 Len=0"
"22","0.025765","N/A","N/A","N/A","42","Raw packet data"
"23","0.026413","N/A","N/A","N/A","42","Raw packet data"
"24","0.026985","N/A","N/A","N/A","498","Raw packet data"
"25","0.027508","N/A","N/A","N/A","498","Raw packet data"
"26","0.028183","N/A","N/A","N/A","498","Raw packet data"
"27","0.028741","N/A","N/A","N/A","498","Raw packet data"
"28","0.029501","N/A","N/A","N/A","498","Raw packet data"
"29","0.030100","N/A","N/A","N/A","498","Raw packet data"
"30","0.031438","N/A","N/A","N/A","498","Raw packet data"
"31","0.031995","N/A","N/A","N/A","498","Raw packet data"
"32","0.033772","N/A","N/A","N/A","498","Raw packet data"
"33","0.034308","N/A","N/A","N/A","498","Raw packet data"
"34","0.034989","N/A","N/A","N/A","498","Raw packet data"
"35","0.035564","N/A","N/A","N/A","498","Raw packet data"
"36","0.036381","N/A","N/A","N/A","498","Raw packet data"
"37","0.037085","N/A","N/A","N/A","498","Raw packet data"
"38","0.037515","N/A","N/A","N/A","498","Raw packet data"
"39","0.038165","N/A","N/A","N/A","498","Raw packet data"
"40","0.038776","N/A","N/A","N/A","498","Raw packet data"
"41","0.039329","N/A","N/A","N/A","498","Raw packet data"
"42","0.040769","N/A","N/A","N/A","498","Raw packet data"
"43","0.041397","N/A","N/A","N/A","498","Raw packet data"
"44","0.041902","N/A","N/A","N/A","498","Raw packet data"
"45","0.042560","N/A","N/A","N/A","498","Raw packet data"
"46","0.043125","N/A","N/A","N/A","498","Raw packet data"
"47","0.043683","N/A","N/A","N/A","498","Raw packet data"
"48","0.044290","N/A","N/A","N/A","498","Raw packet data"
"49","0.046024","N/A","N/A","N/A","498","Raw packet data"
"50","0.046589","N/A","N/A","N/A","498","Raw packet data"
"51","0.047120","N/A","N/A","N/A","498","Raw packet data"
"52","0.047749","N/A","N/A","N/A","498","Raw packet data"
"53","0.048309","N/A","N/A","N/A","498","Raw packet data"
"54","0.048939","N/A","N/A","N/A","498","Raw packet data"
"55","0.049626","N/A","N/A","N/A","498","Raw packet data"
"56","0.050163","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TCP","40","50511  >  https(443) [FIN, ACK] Seq=409 Ack=2329 Win=16384 Len=0"
"57","0.050938","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TLSv1.2","71","Encrypted Alert"
"58","0.051252","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","46","https(443)  >  50511 [FIN, ACK] Seq=2360 Ack=410 Win=501 Len=0"
"59","0.052400","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TCP","40","50511  >  https(443) [RST] Seq=410 Win=0 Len=0"
"60","0.053164","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TCP","40","50511  >  https(443) [RST] Seq=410 Win=0 Len=0"
"61","0.053694","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","46","[TCP Out-Of-Order] https(443)  >  50511 [FIN, ACK] Seq=2360 Ack=410 Win=501 Len=0"
"62","0.055369","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TCP","40","50511  >  https(443) [RST] Seq=410 Win=0 Len=0"
"63","0.056045","N/A","N/A","N/A","498","Raw packet data"
"64","0.056622","N/A","N/A","N/A","498","Raw packet data"
"65","0.057217","N/A","N/A","N/A","498","Raw packet data"
"66","0.057924","N/A","N/A","N/A","498","Raw packet data"
"67","0.058479","N/A","N/A","N/A","498","Raw packet data"
"68","0.059036","N/A","N/A","N/A","498","Raw packet data"
"69","0.059653","N/A","N/A","N/A","498","Raw packet data"
"70","0.061078","N/A","N/A","N/A","498","Raw packet data"
"71","0.061711","N/A","N/A","N/A","498","Raw packet data"
"72","0.062278","N/A","N/A","N/A","498","Raw packet data"
"73","0.062902","N/A","N/A","N/A","498","Raw packet data"
"74","0.063509","N/A","N/A","N/A","498","Raw packet data"
"75","0.064064","N/A","N/A","N/A","498","Raw packet data"
"76","0.064549","N/A","N/A","N/A","42","Raw packet data"
"77","0.066369","N/A","N/A","N/A","42","Raw packet data"
"78","0.067145","N/A","N/A","N/A","42","Raw packet data"
"79","0.067716","N/A","N/A","N/A","42","Raw packet data"
"80","0.068356","10.133.147.141","146.57.254.144","TCP","40","50436  >  https(443) [FIN, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"81","0.068966","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","71","[TCP Retransmission] https(443)  >  50511 [FIN, PSH, ACK] Seq=2329 Ack=410 Win=501 Len=31"
"82","0.069682","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TCP","40","50511  >  https(443) [RST] Seq=410 Win=0 Len=0"
"83","0.070221","N/A","N/A","N/A","42","Raw packet data"
"84","0.070702","N/A","N/A","N/A","42","Raw packet data"
"85","0.071323","N/A","N/A","N/A","42","Raw packet data"
"86","0.073416","N/A","N/A","N/A","42","Raw packet data"
"87","0.074056","N/A","N/A","N/A","42","Raw packet data"
"88","0.074993","N/A","N/A","N/A","42","Raw packet data"
"89","0.076258","N/A","N/A","N/A","42","Raw packet data"
"90","0.076843","N/A","N/A","N/A","42","Raw packet data"
"91","0.077470","N/A","N/A","N/A","42","Raw packet data"
"92","0.078090","N/A","N/A","N/A","42","Raw packet data"
"93","0.078716","N/A","N/A","N/A","42","Raw packet data"
"94","0.079340","a23-35-204-54.deploy.static.akamaitechnologies.com","10.133.147.141","TCP","71","[TCP Retransmission] https(443)  >  50511 [FIN, PSH, ACK] Seq=2329 Ack=410 Win=501 Len=31"
"95","0.079859","10.133.147.141","a23-35-204-54.deploy.static.akamaitechnologies.com","TCP","40","50511  >  https(443) [RST] Seq=410 Win=0 Len=0"
"96","0.080497","N/A","N/A","N/A","42","Raw packet data"
"97","0.081027","N/A","N/A","N/A","42","Raw packet data"
"98","0.082714","10.133.147.141","a104-70-164-11.deploy.static.akamaitechnologies.com","TCP","40","50444  >  https(443) [RST, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"99","0.083372","10.133.147.141","a23-10-240-8.deploy.static.akamaitechnologies.com","TCP","40","50443  >  https(443) [RST, ACK] Seq=1 Ack=1 Win=32768 Len=0"
"100","0.083901","10.133.147.141","ord38s29-in-f19.1e100.net","TCP","40","50422  >  https(443) [RST, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"101","1.088080","N/A","N/A","N/A","42","Raw packet data"
"102","1.090790","N/A","N/A","N/A","42","Raw packet data"
"103","1.091455","N/A","N/A","N/A","42","Raw packet data"
"104","1.091990","N/A","N/A","N/A","42","Raw packet data"
"105","1.094671","N/A","N/A","N/A","42","Raw packet data"
"106","1.095459","N/A","N/A","N/A","42","Raw packet data"
"107","1.096407","N/A","N/A","N/A","42","Raw packet data"
"108","1.096978","N/A","N/A","N/A","42","Raw packet data"
"109","1.097887","N/A","N/A","N/A","42","Raw packet data"
"110","1.098502","10.133.147.141","151.101.150.73","TCP","40","50441  >  https(443) [RST, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"111","1.099264","N/A","N/A","N/A","42","Raw packet data"
"112","1.099848","N/A","N/A","N/A","498","Raw packet data"
"113","1.100384","N/A","N/A","N/A","498","Raw packet data"
"114","1.101185","N/A","N/A","N/A","498","Raw packet data"
"115","1.102052","N/A","N/A","N/A","498","Raw packet data"
"116","1.102747","N/A","N/A","N/A","498","Raw packet data"
"117","1.104385","N/A","N/A","N/A","498","Raw packet data"
"118","1.105053","N/A","N/A","N/A","498","Raw packet data"
"119","1.105496","N/A","N/A","N/A","498","Raw packet data"
"120","1.106022","N/A","N/A","N/A","498","Raw packet data"
"121","1.106609","N/A","N/A","N/A","498","Raw packet data"
"122","1.107158","N/A","N/A","N/A","498","Raw packet data"
"123","1.107740","N/A","N/A","N/A","498","Raw packet data"
"124","1.108367","N/A","N/A","N/A","498","Raw packet data"
"125","1.108951","N/A","N/A","N/A","498","Raw packet data"
"126","1.109524","N/A","N/A","N/A","498","Raw packet data"
"127","1.110120","N/A","N/A","N/A","498","Raw packet data"
