"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","N/A","N/A","N/A","46","Raw packet data"
"2","0.000488","N/A","N/A","N/A","42","Raw packet data"
"3","0.001802","N/A","N/A","N/A","42","Raw packet data"
"4","1.004338","N/A","N/A","N/A","42","Raw packet data"
"5","2.006929","N/A","N/A","N/A","46","Raw packet data"
"6","2.008181","N/A","N/A","N/A","42","Raw packet data"
"7","3.352052","N/A","N/A","N/A","46","Raw packet data"
"8","4.354549","N/A","N/A","N/A","42","Raw packet data"
"9","5.356903","N/A","N/A","N/A","42","Raw packet data"
"10","5.357758","N/A","N/A","N/A","46","Raw packet data"
"11","6.360824","N/A","N/A","N/A","42","Raw packet data"
"12","6.362208","N/A","N/A","N/A","42","Raw packet data"
"13","6.362763","N/A","N/A","N/A","42","Raw packet data"
"14","6.364041","N/A","N/A","N/A","42","Raw packet data"
"15","7.366681","N/A","N/A","N/A","46","Raw packet data"
"16","8.368573","N/A","N/A","N/A","42","Raw packet data"
"17","9.371661","N/A","N/A","N/A","42","Raw packet data"
"18","9.372744","N/A","N/A","N/A","46","Raw packet data"
"19","9.373298","N/A","N/A","N/A","42","Raw packet data"
"20","9.374022","N/A","N/A","N/A","42","Raw packet data"
"21","10.376517","N/A","N/A","N/A","42","Raw packet data"
"22","11.378985","N/A","N/A","N/A","42","Raw packet data"
"23","11.379631","N/A","N/A","N/A","42","Raw packet data"
"24","11.381058","N/A","N/A","N/A","46","Raw packet data"
"25","12.383022","N/A","N/A","N/A","42","Raw packet data"
"26","12.383803","N/A","N/A","N/A","42","Raw packet data"
"27","12.384762","N/A","N/A","N/A","42","Raw packet data"
"28","12.385817","N/A","N/A","N/A","42","Raw packet data"
"29","13.389866","N/A","N/A","N/A","42","Raw packet data"
"30","13.390639","N/A","N/A","N/A","42","Raw packet data"
"31","13.391747","N/A","N/A","N/A","46","Raw packet data"
"32","14.394078","N/A","N/A","N/A","42","Raw packet data"
"33","14.394993","N/A","N/A","N/A","42","Raw packet data"
"34","15.397429","N/A","N/A","N/A","42","Raw packet data"
"35","15.398080","N/A","N/A","N/A","42","Raw packet data"
"36","15.399384","N/A","N/A","N/A","46","Raw packet data"
"37","16.401833","N/A","N/A","N/A","42","Raw packet data"
"38","17.404705","N/A","N/A","N/A","46","Raw packet data"
"39","18.406888","N/A","N/A","N/A","42","Raw packet data"
"40","18.408135","N/A","N/A","N/A","42","Raw packet data"
"41","18.409388","N/A","N/A","N/A","42","Raw packet data"
"42","19.411518","N/A","N/A","N/A","42","Raw packet data"
"43","19.412992","N/A","N/A","N/A","42","Raw packet data"
"44","20.415091","N/A","N/A","N/A","46","Raw packet data"
"45","20.416411","N/A","N/A","N/A","42","Raw packet data"
"46","21.418787","N/A","N/A","N/A","42","Raw packet data"
"47","21.420083","N/A","N/A","N/A","46","Raw packet data"
"48","22.422692","N/A","N/A","N/A","42","Raw packet data"
"49","23.424813","N/A","N/A","N/A","42","Raw packet data"
"50","24.427109","N/A","N/A","N/A","46","Raw packet data"
"51","24.428089","N/A","N/A","N/A","42","Raw packet data"
"52","25.471926","N/A","N/A","N/A","46","Raw packet data"
"53","26.473827","N/A","N/A","N/A","42","Raw packet data"
"54","26.474524","N/A","N/A","N/A","42","Raw packet data"
"55","27.477026","N/A","N/A","N/A","42","Raw packet data"
"56","27.477807","N/A","N/A","N/A","42","Raw packet data"
"57","27.479070","N/A","N/A","N/A","42","Raw packet data"
"58","27.479905","N/A","N/A","N/A","42","Raw packet data"
"59","28.482700","N/A","N/A","N/A","46","Raw packet data"
"60","28.483655","N/A","N/A","N/A","42","Raw packet data"
"61","28.484588","N/A","N/A","N/A","42","Raw packet data"
"62","28.485596","N/A","N/A","N/A","42","Raw packet data"
"63","29.488094","N/A","N/A","N/A","42","Raw packet data"
"64","29.488975","N/A","N/A","N/A","42","Raw packet data"
"65","29.489922","N/A","N/A","N/A","42","Raw packet data"
"66","29.491066","N/A","N/A","N/A","46","Raw packet data"
"67","30.493454","N/A","N/A","N/A","42","Raw packet data"
"68","30.494445","N/A","N/A","N/A","42","Raw packet data"
"69","30.495512","N/A","N/A","N/A","42","Raw packet data"
"70","30.496454","N/A","N/A","N/A","42","Raw packet data"
"71","31.499453","N/A","N/A","N/A","42","Raw packet data"
"72","31.500726","N/A","N/A","N/A","42","Raw packet data"
"73","31.501881","N/A","N/A","N/A","42","Raw packet data"
"74","31.502927","N/A","N/A","N/A","42","Raw packet data"
"75","31.503187","N/A","N/A","N/A","46","Raw packet data"
"76","32.505893","N/A","N/A","N/A","42","Raw packet data"
"77","32.506714","N/A","N/A","N/A","42","Raw packet data"
"78","32.507197","N/A","N/A","N/A","42","Raw packet data"
"79","32.508037","N/A","N/A","N/A","42","Raw packet data"
"80","32.508917","N/A","N/A","N/A","42","Raw packet data"
"81","33.511816","N/A","N/A","N/A","42","Raw packet data"
"82","33.513121","N/A","N/A","N/A","42","Raw packet data"
"83","33.514104","N/A","N/A","N/A","42","Raw packet data"
"84","33.514794","N/A","N/A","N/A","42","Raw packet data"
"85","33.515363","N/A","N/A","N/A","42","Raw packet data"
"86","34.517820","N/A","N/A","N/A","46","Raw packet data"
"87","34.518983","N/A","N/A","N/A","42","Raw packet data"
"88","34.520093","N/A","N/A","N/A","42","Raw packet data"
"89","34.521158","N/A","N/A","N/A","42","Raw packet data"
"90","34.521943","N/A","N/A","N/A","42","Raw packet data"
"91","35.524579","N/A","N/A","N/A","42","Raw packet data"
"92","35.525865","N/A","N/A","N/A","42","Raw packet data"
"93","35.526668","N/A","N/A","N/A","42","Raw packet data"
"94","35.527679","N/A","N/A","N/A","42","Raw packet data"
"95","35.528233","N/A","N/A","N/A","42","Raw packet data"
"96","36.530621","N/A","N/A","N/A","46","Raw packet data"
"97","36.532565","N/A","N/A","N/A","42","Raw packet data"
"98","36.533590","N/A","N/A","N/A","42","Raw packet data"
"99","37.536148","N/A","N/A","N/A","42","Raw packet data"
"100","37.536852","N/A","N/A","N/A","42","Raw packet data"
"101","38.539456","N/A","N/A","N/A","46","Raw packet data"
"102","38.540179","N/A","N/A","N/A","42","Raw packet data"
"103","39.910389","N/A","N/A","N/A","42","Raw packet data"
"104","40.912825","N/A","N/A","N/A","42","Raw packet data"
"105","40.913553","N/A","N/A","N/A","46","Raw packet data"
"106","40.914583","N/A","N/A","N/A","42","Raw packet data"
"107","41.916950","N/A","N/A","N/A","42","Raw packet data"
"108","41.917832","N/A","N/A","N/A","42","Raw packet data"
"109","41.918750","N/A","N/A","N/A","42","Raw packet data"
"110","41.919591","N/A","N/A","N/A","46","Raw packet data"
"111","42.922197","N/A","N/A","N/A","42","Raw packet data"
"112","42.923398","N/A","N/A","N/A","42","Raw packet data"
"113","42.925084","N/A","N/A","N/A","42","Raw packet data"
"114","42.925851","N/A","N/A","N/A","42","Raw packet data"
"115","43.928329","N/A","N/A","N/A","42","Raw packet data"
"116","43.929216","N/A","N/A","N/A","42","Raw packet data"
"117","43.929956","N/A","N/A","N/A","42","Raw packet data"
"118","43.930931","N/A","N/A","N/A","42","Raw packet data"
"119","43.931634","N/A","N/A","N/A","42","Raw packet data"
"120","43.932263","N/A","N/A","N/A","42","Raw packet data"
"121","43.932781","N/A","N/A","N/A","46","Raw packet data"
"122","44.935330","N/A","N/A","N/A","42","Raw packet data"
"123","44.936159","N/A","N/A","N/A","42","Raw packet data"
"124","44.936746","N/A","N/A","N/A","42","Raw packet data"
"125","44.937693","N/A","N/A","N/A","42","Raw packet data"
"126","44.938409","N/A","N/A","N/A","42","Raw packet data"
"127","45.941183","N/A","N/A","N/A","42","Raw packet data"
"128","45.942147","N/A","N/A","N/A","42","Raw packet data"
"129","45.943361","N/A","N/A","N/A","42","Raw packet data"
"130","45.944209","N/A","N/A","N/A","46","Raw packet data"
"131","46.946945","N/A","N/A","N/A","42","Raw packet data"
"132","46.947647","N/A","N/A","N/A","42","Raw packet data"
"133","46.948608","N/A","N/A","N/A","42","Raw packet data"
"134","47.950914","N/A","N/A","N/A","42","Raw packet data"
"135","47.951806","N/A","N/A","N/A","42","Raw packet data"
"136","47.952985","N/A","N/A","N/A","42","Raw packet data"
"137","47.953809","N/A","N/A","N/A","42","Raw packet data"
"138","47.954549","N/A","N/A","N/A","42","Raw packet data"
"139","48.957094","N/A","N/A","N/A","46","Raw packet data"
"140","48.958040","N/A","N/A","N/A","42","Raw packet data"
"141","48.958878","N/A","N/A","N/A","42","Raw packet data"
"142","48.959658","N/A","N/A","N/A","42","Raw packet data"
"143","49.962816","N/A","N/A","N/A","42","Raw packet data"
"144","49.963980","N/A","N/A","N/A","46","Raw packet data"
"145","50.966505","N/A","N/A","N/A","42","Raw packet data"
"146","50.967482","N/A","N/A","N/A","42","Raw packet data"
"147","50.968117","N/A","N/A","N/A","42","Raw packet data"
"148","50.969221","N/A","N/A","N/A","42","Raw packet data"
"149","50.969733","N/A","N/A","N/A","42","Raw packet data"
"150","51.972700","N/A","N/A","N/A","42","Raw packet data"
"151","51.973984","N/A","N/A","N/A","46","Raw packet data"
"152","51.974960","N/A","N/A","N/A","42","Raw packet data"
"153","52.977459","N/A","N/A","N/A","42","Raw packet data"
"154","53.979912","N/A","N/A","N/A","42","Raw packet data"
"155","53.980545","N/A","N/A","N/A","42","Raw packet data"
"156","53.981631","N/A","N/A","N/A","46","Raw packet data"
"157","54.984297","N/A","N/A","N/A","42","Raw packet data"
"158","54.985671","N/A","N/A","N/A","42","Raw packet data"
"159","55.988153","N/A","N/A","N/A","42","Raw packet data"
"160","55.989852","N/A","N/A","N/A","42","Raw packet data"
"161","55.990862","N/A","N/A","N/A","46","Raw packet data"
"162","55.991611","N/A","N/A","N/A","42","Raw packet data"
"163","56.993949","N/A","N/A","N/A","42","Raw packet data"
"164","56.994912","N/A","N/A","N/A","42","Raw packet data"
"165","57.997597","N/A","N/A","N/A","42","Raw packet data"
"166","57.998530","N/A","N/A","N/A","42","Raw packet data"
"167","57.999352","N/A","N/A","N/A","42","Raw packet data"
"168","58.000575","N/A","N/A","N/A","46","Raw packet data"
"169","59.003299","N/A","N/A","N/A","42","Raw packet data"
"170","59.003949","N/A","N/A","N/A","42","Raw packet data"
"171","60.006767","N/A","N/A","N/A","42","Raw packet data"
"172","60.007511","N/A","N/A","N/A","42","Raw packet data"
"173","60.008415","N/A","N/A","N/A","46","Raw packet data"
"174","61.010989","N/A","N/A","N/A","42","Raw packet data"
"175","61.011710","N/A","N/A","N/A","42","Raw packet data"
"176","61.012639","N/A","N/A","N/A","42","Raw packet data"
"177","61.013597","N/A","N/A","N/A","42","Raw packet data"
"178","62.016407","N/A","N/A","N/A","42","Raw packet data"
"179","62.017333","N/A","N/A","N/A","42","Raw packet data"
"180","63.019702","N/A","N/A","N/A","46","Raw packet data"
"181","63.020649","N/A","N/A","N/A","42","Raw packet data"
"182","63.021808","N/A","N/A","N/A","42","Raw packet data"
"183","64.024367","N/A","N/A","N/A","42","Raw packet data"
"184","65.026654","N/A","N/A","N/A","46","Raw packet data"
"185","65.027409","N/A","N/A","N/A","42","Raw packet data"
"186","65.028338","N/A","N/A","N/A","42","Raw packet data"
"187","65.029315","N/A","N/A","N/A","42","Raw packet data"
"188","65.029720","N/A","N/A","N/A","42","Raw packet data"
"189","65.030297","N/A","N/A","N/A","42","Raw packet data"
"190","66.033422","N/A","N/A","N/A","42","Raw packet data"
"191","66.034779","N/A","N/A","N/A","42","Raw packet data"
"192","66.035752","N/A","N/A","N/A","42","Raw packet data"
"193","66.036184","N/A","N/A","N/A","42","Raw packet data"
"194","66.036541","N/A","N/A","N/A","46","Raw packet data"
"195","67.039067","N/A","N/A","N/A","42","Raw packet data"
"196","67.040117","N/A","N/A","N/A","42","Raw packet data"
"197","68.043049","N/A","N/A","N/A","42","Raw packet data"
"198","68.044150","N/A","N/A","N/A","42","Raw packet data"
"199","69.046926","N/A","N/A","N/A","46","Raw packet data"
"200","69.047677","N/A","N/A","N/A","42","Raw packet data"
"201","69.048590","N/A","N/A","N/A","42","Raw packet data"
"202","70.051185","N/A","N/A","N/A","42","Raw packet data"
"203","70.051950","N/A","N/A","N/A","42","Raw packet data"
"204","71.054820","N/A","N/A","N/A","46","Raw packet data"
"205","71.055807","N/A","N/A","N/A","42","Raw packet data"
"206","71.056622","N/A","N/A","N/A","42","Raw packet data"
"207","71.057604","N/A","N/A","N/A","42","Raw packet data"
"208","72.060432","N/A","N/A","N/A","42","Raw packet data"
"209","72.061210","N/A","N/A","N/A","42","Raw packet data"
"210","72.063685","N/A","N/A","N/A","42","Raw packet data"
"211","72.063975","N/A","N/A","N/A","42","Raw packet data"
"212","73.066626","N/A","N/A","N/A","46","Raw packet data"
